Partial_Entity_Name,State,State_Short,Full_Entity_Name,Match_Status,Matched_Name,Confidence_Score,Match_Stage,Context_Notes,Top_3_Candidates
CITY OF CARROLLTON,Texas,TX,TX-CITY OF CARROLLTON,Matched,TX-CITY OF CARROLLTON,1.0,exact,,
HAGERSTOWN COMMUNITY COLLEGE,Maryland,MD,MD-HAGERSTOWN COMMUNITY COLLEGE,Matched,MD-HAGERSTOWN COMMUNITY COLLEGE,1.0,exact,,
HOWARD COMMUNITY COLLEGE,Maryland,MD,MD-HOWARD COMMUNITY COLLEGE,Matched,MD-HOWARD COMMUNITY COLLEGE,1.0,exact,,
TOWSON UNIVERSITY,Maryland,MD,MD-TOWSON UNIVERSITY,Matched,MD-TOWSON UNIVERSITY,1.0,exact,,
WASHINGTON COUNTY PUBLIC SCHOOLS,Maryland,MD,MD-WASHINGTON COUNTY PUBLIC SCHOOLS,Matched,MD-WASHINGTON COUNTY PUBLIC SCHOOLS,1.0,exact,,
LEXINGTON PUBLIC SCHOOLS,Massachusetts,MA,MA-LEXINGTON PUBLIC SCHOOLS,Matched,MA-LEXINGTON PUBLIC SCHOOLS,1.0,exact,,
CITY OF NEW ORLEANS,Louisiana,LA,LA-CITY OF NEW ORLEANS,Matched,LA-CITY OF NEW ORLEANS,1.0,exact,,
ALPENA PUBLIC SCHOOLS,Michigan,MI,MI-ALPENA PUBLIC SCHOOLS,Matched,MI-ALPENA PUBLIC SCHOOLS,1.0,exact,,
CITY OF GROSSE POINTE PARK,Michigan,MI,MI-CITY OF GROSSE POINTE PARK,Matched,MI-CITY OF GROSSE POINTE PARK,1.0,exact,,
CITY OF JACKSON,Michigan,MI,MI-CITY OF JACKSON,Matched,MI-CITY OF JACKSON,1.0,exact,,
CITY OF MIDLAND,Michigan,MI,MI-CITY OF MIDLAND,Matched,MI-CITY OF MIDLAND,1.0,exact,,
CITY OF NEGAUNEE,Michigan,MI,MI-CITY OF NEGAUNEE,Matched,MI-CITY OF NEGAUNEE,1.0,exact,,
CITY OF NEW BALTIMORE,Michigan,MI,MI-CITY OF NEW BALTIMORE,Matched,MI-CITY OF NEW BALTIMORE,1.0,exact,,
MEMPHIS-SHELBY COUNTY SCHOOLS,Tennessee,TN,TN-MEMPHIS-SHELBY COUNTY SCHOOLS,Matched,TN-MEMPHIS-SHELBY COUNTY SCHOOLS,1.0,exact,,
ALBANY ISD,Texas,TX,TX-ALBANY ISD,Matched,TX-ALBANY ISD,1.0,exact,,
ARLINGTON ISD,Texas,TX,TX-ARLINGTON ISD,Matched,TX-ARLINGTON ISD,1.0,exact,,
